acc_x,speed_x_km,time,acc_y,speed_y_km,speed
0.10356188,-16.7094,131,3.0101929,-105.7608,107
0.83599305,-13.6998,132,3.3893647,-93.5591,95
-1.1225808,-13.6998,132,1.6156934,-93.5591,95
-0.84406805,-16.7385,133,0.52169704,-91.6810,93
0.60480094,-16.7385,133,-1.1678542,-91.6810,93
-0.12164903,-17.1764,134,-0.093634486,-92.0181,94
-0.61973596,-17.1764,134,-0.67779946,-92.0181,94
-0.7849238,-20.0022,135,0.12131238,-91.5813,94
-0.19219148,-20.0022,135,-0.86224484,-91.5813,94
-0.84101474,-23.0298,136,-0.54194593,-93.5323,96
0.3863448,-23.0298,136,2.0474577,-93.5323,96
-0.057249904,-23.2359,137,2.5879822,-84.2156,87
0.83209145,-23.2359,137,2.6425023,-84.2156,87
-1.6843994,-29.2997,138,1.875776,-77.4628,83
0.62552464,-27.0479,139,1.1231205,-73.4196,78
-0.9642315,-27.0479,139,0.15897477,-73.4196,78
0.44084823,-25.4608,140,2.0926218,-65.8861,71
-0.7102841,-25.4608,140,1.8605233,-65.8861,71
-2.0775704,-32.9401,141,0.47456527,-64.1777,72
-1.7709407,-32.9401,141,0.32360435,-64.1777,72
-1.0430828,-36.6952,142,-0.22923493,-65.0029,75
-1.6164684,-36.6952,142,-0.013871908,-65.0029,75
-2.3421397,-45.1269,143,1.060869,-61.1838,76
-0.9390771,-45.1269,143,-0.4994235,-61.1838,76
0.3344388,-43.9229,144,-0.56099504,-63.2034,77
-0.40551174,-43.9229,144,-0.62893564,-63.2034,77
2.1116695,-36.3209,145,-0.18945885,-63.8855,73
0.9835638,-32.7800,146,-1.0164614,-67.5447,75
-0.11665785,-32.7800,146,-1.339486,-67.5447,75
-0.78104174,-35.5918,147,0.3681436,-66.2194,75
-0.4845345,-35.5918,147,0.5245966,-66.2194,75
-0.36135757,-36.8927,148,0.653365,-63.8673,74
-0.17305136,-36.8927,148,0.594558,-63.8673,74
1.6964655,-30.7854,149,1.5538425,-58.2735,66
1.737644,-30.7854,149,0.95342374,-58.2735,66
-0.22283137,-31.5876,150,0.67771256,-55.8337,64
1.8294368,-31.5876,150,-0.6129573,-55.8337,64
1.3608747,-26.6884,151,-0.39464924,-57.2544,63
2.2587337,-26.6884,151,-0.106212884,-57.2544,63
-0.7556101,-29.4086,152,-0.42481306,-58.7838,66
-2.5224445,-38.4894,153,-1.554691,-64.3806,75
-1.6675365,-38.4894,153,-0.9851871,-64.3806,75
-1.0189577,-42.1577,154,0.3555774,-63.1006,76
-0.82554615,-42.1577,154,0.62454057,-63.1006,76
-0.0007267,-42.1603,155,-0.7320622,-65.7360,78
-0.124697685,-42.1603,155,1.3492811,-65.7360,78
1.5441127,-36.6015,156,-0.13220355,-66.2119,76
-0.62998724,-36.6015,156,-0.8365323,-66.2119,76
-0.29793346,-37.6741,157,-1.1543016,-70.3674,80
0.4789641,-37.6741,157,-2.1047263,-70.3674,80
-1.3421266,-42.5057,158,-1.009614,-74.0020,85
-0.33580267,-43.7146,159,0.5922353,-71.8700,84
-1.280369,-43.7146,159,-0.7850879,-71.8700,84
-0.60204923,-45.8820,160,-1.7551825,-78.1886,91
-1.9835314,-45.8820,160,-0.16687787,-78.1886,91
-3.7373357,-59.3364,161,-0.18634301,-78.8595,99
-3.1920638,-59.3364,161,0.4822656,-78.8595,99
0.5413372,-57.3876,162,0.001234174,-78.8550,98
-1.5564988,-57.3876,162,0.18361433,-78.8550,98
1.2524033,-52.8789,163,-0.77510464,-81.6454,97
0.11569905,-52.8789,163,-1.027419,-81.6454,97
-0.13417673,-53.3620,164,-1.8457432,-88.2901,103
-0.58816135,-53.3620,164,-2.580681,-88.2901,103
-0.51196456,-55.2050,165,-1.4584947,-93.5406,109
0.08054972,-54.9151,166,0.15750861,-92.9736,108
1.2344418,-54.9151,166,0.24361688,-92.9736,108
1.0942656,-50.9757,167,0.11471915,-92.5606,106
1.1046184,-50.9757,167,0.55082715,-92.5606,106
-0.15958393,-51.5502,168,0.22506541,-91.7504,105
1.1647046,-51.5502,168,1.9358611,-91.7504,105
-0.53488064,-53.4758,169,0.17315102,-91.1270,106
1.0837841,-53.4758,169,0.77579236,-91.1270,106
-0.84809554,-56.5289,170,0.77965057,-88.3203,105
-1.0400504,-56.5289,170,0.008624114,-88.3203,105
-1.3580031,-61.4177,171,-0.23484321,-89.1657,108
-0.77663845,-61.4177,171,-0.9758723,-89.1657,108
-1.1825325,-65.6748,172,-0.8154366,-92.1013,113
