acc_x,speed_x_km,time,acc_y,speed_y_km,speed,label,timestamp
-1.1231012,-49.3834,142,-0.59272027,-5.2192,50,0,3581771
1.0234836,-45.6988,143,0.9024394,-1.9704,46,0,3581772
0.005556345,-45.6988,143,-0.07067929,-1.9704,46,0,3581772
0.012330771,-45.6545,144,0.048851274,-1.7945,46,0,3581773
-0.07141042,-45.6545,144,0.2701403,-1.7945,46,0,3581773
0.73912287,-42.9936,145,0.43837807,-0.2164,43,0,3581774
0.12841725,-42.9936,145,-0.80596346,-0.2164,43,0,3581774
-0.38435006,-44.3773,146,-0.7979759,-3.0891,44,0,3581775
0.56799436,-44.3773,146,-0.7635671,-3.0891,44,0,3581775
-0.30801678,-45.4861,147,0.29713914,-2.0194,46,0,3581776
-0.07703292,-45.4861,147,-0.29111025,-2.0194,46,0,3581776
-0.36783028,-46.8103,148,-0.111059666,-2.4192,47,0,3581777
0.62327254,-44.5665,149,-0.26485637,-3.3727,45,0,3581778
0.073449254,-44.5665,149,-0.7440124,-3.3727,45,0,3581778
0.4740256,-42.8601,150,0.541974,-1.4216,43,0,3581779
-0.11017203,-42.8601,150,-0.6860788,-1.4216,43,0,3581779
0.30949104,-41.7459,151,0.32975072,-0.2345,42,0,3581780
-1.0162668,-41.7459,151,-0.20013869,-0.2345,42,0,3581780
0.90842676,-38.4755,152,-0.35964292,-1.5292,39,0,3581781
-0.099675655,-38.4755,152,-0.04836425,-1.5292,39,0,3581781
-0.1801846,-39.1242,153,-0.3898878,-2.9328,39,0,3581782
-1.9070683,-39.1242,153,-1.6033976,-2.9328,39,0,3581782
-0.510329,-40.9614,154,-0.7576237,-5.6602,41,0,3581783
-0.25521362,-40.9614,154,-0.012183666,-5.6602,41,0,3581783
-0.25381076,-41.8751,155,0.79616594,-2.7940,42,0,3581784
-0.376352,-43.2300,156,-0.76224595,-5.5381,44,0,3581785
-0.9957027,-43.2300,156,-0.8332688,-5.5381,44,0,3581785
-0.27757055,-44.2292,157,-1.2646041,-10.0907,45,0,3581786
-0.29910886,-44.2292,157,0.5342967,-10.0907,45,0,3581786
0.34876406,-42.9737,158,0.3460778,-8.8448,44,0,3581787
-0.6136386,-42.9737,158,0.20602992,-8.8448,44,0,3581787
0.22911942,-42.1489,159,1.1469812,-4.7157,42,0,3581788
1.1726547,-42.1489,159,-0.108105354,-4.7157,42,0,3581788
-0.3546877,-43.4257,160,-0.5180464,-6.5806,44,0,3581789
-0.3210932,-43.4257,160,-0.75217336,-6.5806,44,0,3581789
0.21408367,-42.6550,161,-0.5882675,-8.6984,44,0,3581790
0.6286851,-42.6550,161,0.04788199,-8.6984,44,0,3581790
0.1085875,-42.2641,162,-0.61211646,-10.9020,44,0,3581791
0.5604267,-40.2466,163,-1.2272356,-15.3201,43,0,3581792
-1.0127023,-40.2466,163,-0.47161663,-15.3201,43,0,3581792
-0.043752074,-40.4041,164,-0.022560418,-15.4013,43,0,3581793
-1.0208405,-40.4041,164,-0.3660627,-15.4013,43,0,3581793
0.16000628,-39.8281,165,0.6783377,-12.9593,42,0,3581794
-0.018686056,-39.8281,165,0.32031968,-12.9593,42,0,3581794
0.12359834,-39.3831,166,0.401303,-11.5146,41,0,3581795
0.20924437,-39.3831,166,-0.30007708,-11.5146,41,0,3581795
0.432822,-37.8250,167,0.4263416,-9.9798,39,0,3581796
-0.22298932,-37.8250,167,-0.22828063,-9.9798,39,0,3581796
-0.674546,-40.2533,168,-0.60552186,-12.1596,42,0,3581797
0.98295546,-40.2533,168,0.31632358,-12.1596,42,0,3581797
0.22900033,-39.4289,169,0.7271996,-9.5417,41,0,3581798
